"annotation_id","annotator","created_at","id","lead_time","sentiment","updated_at","Текст"
78,"1","2023-11-06T21:30:05.795479Z",79,1.743,"Negative","2023-11-06T21:30:05.795479Z","Как отключить платные смс оповещение"
79,"1","2023-11-06T21:30:08.267917Z",80,1.846,"Negative","2023-11-06T21:30:08.267917Z","Отключите мобильное уведомление!!!"
80,"1","2023-11-06T21:30:13.115860Z",81,3.945,"Negative","2023-11-06T21:30:13.115860Z","А кто и зачем подключил эту услугу? Я не просил и не согласовывал это. Отключите и больше ничего не подключайте если я не прошу"
81,"1","2023-11-06T21:30:16.559779Z",82,2.765,"Negative","2023-11-06T21:30:16.560771Z","Доброго утра, за что списали 199 руб 17.10?"
82,"1","2023-11-06T21:30:19.068006Z",83,1.904,"Negative","2023-11-06T21:30:19.069008Z","Отключите гпб плюс!!!!!"
83,"1","2023-11-06T21:30:22.227320Z",84,2.236,"Negative","2023-11-06T21:30:22.227320Z","Как отключить гпк плюс"
84,"1","2023-11-06T21:30:24.816563Z",85,1.959,"Negative","2023-11-06T21:30:24.816563Z","Здравствуйте. На каком основании у меня списано 99 руб. за мобильное информирование, я такую услугу отключал."
85,"1","2023-11-06T21:30:27.747976Z",86,2.056,"Negative","2023-11-06T21:30:27.747976Z","Будьте добры отключите услугу ГПБ Плюс"
86,"1","2023-11-06T21:30:30.178760Z",87,1.835,"Negative","2023-11-06T21:30:30.178760Z","Написал отзыв на банки.ру"
87,"1","2023-11-06T21:30:32.873128Z",88,2.066,"Negative","2023-11-06T21:30:32.873128Z","Качество обслуживания ужасное"
88,"1","2023-11-06T21:30:35.608537Z",89,2.132,"Negative","2023-11-06T21:30:35.608537Z","Вы издеваетесь?"
89,"1","2023-11-06T21:30:39.268873Z",90,3.062,"Negative","2023-11-06T21:30:39.268873Z","Я задала конкретный ясный вопрос. Зачем переспрашивать?????"
90,"1","2023-11-06T21:30:44.981829Z",91,4.686,"Negative","2023-11-06T21:30:44.981829Z","Чо за бред, изначально была речь про пожизненное бесплатное обслуживание"
91,"1","2023-11-06T21:30:47.631492Z",92,1.997,"Negative","2023-11-06T21:30:47.631492Z","Желаю воспользоваться кредиткой и бегать с хер поймёшь откуда то взятыми долгами"
92,"1","2023-11-06T21:30:50.210237Z",93,2.06,"Negative","2023-11-06T21:30:50.210237Z","👎"
93,"1","2023-11-06T21:30:52.618692Z",94,1.834,"Negative","2023-11-06T21:30:52.618692Z","Текст"
94,"1","2023-11-06T21:30:55.261551Z",95,2.054,"Negative","2023-11-06T21:30:55.261551Z","Сколько времени перевыпускается новая карта после блокировки"
95,"1","2023-11-06T21:30:57.544578Z",96,1.707,"Negative","2023-11-06T21:30:57.544578Z","1"
96,"1","2023-11-06T21:30:59.811377Z",97,1.735,"Negative","2023-11-06T21:30:59.811377Z","Добрый день! Когда разблокируют денежные средства на счету ?"
97,"1","2023-11-06T21:31:01.904829Z",98,1.547,"Negative","2023-11-06T21:31:01.905833Z","Разблокировать карту"
98,"1","2023-11-06T21:31:04.126525Z",99,1.703,"Negative","2023-11-06T21:31:04.126525Z","Перевышен лимит написал там"
99,"1","2023-11-06T21:31:06.544918Z",100,1.817,"Negative","2023-11-06T21:31:06.544918Z","Доброго времени суток! Хотел перевести деньги человеку и меня заблокировали карту"
100,"1","2023-11-06T21:31:09.270334Z",101,2.133,"Negative","2023-11-06T21:31:09.270334Z","Будет ли в данном случае разблокирована кредитная карта и смогу ли ей пользоваться"
101,"1","2023-11-06T21:31:43.663299Z",102,2.355,"Negative","2023-11-06T21:31:43.663299Z","Данную операцию повторно проводить не нужно так как на тот момент решили ситуацию иным способом, как я сейчас могу разблокировать карту?"
102,"1","2023-11-06T21:31:46.100507Z",103,1.824,"Negative","2023-11-06T21:31:46.100507Z","Могли бы проконсультировать по последнему зачислению?"
103,"1","2023-11-06T21:31:48.887771Z",104,2.177,"Negative","2023-11-06T21:31:48.887771Z","Здравствуйте. Скажите пожалуста, было поступление. 2030 рублей на карту. От кого можно узнать?"
104,"1","2023-11-06T21:31:51.677320Z",105,1.865,"Negative","2023-11-06T21:31:51.677320Z","Кто пополнил карту"
105,"1","2023-11-06T21:31:57.122333Z",106,4.723,"Negative","2023-11-06T21:31:57.123329Z","Кто пополнил карту"
106,"1","2023-11-06T21:31:59.995960Z",107,2.258,"Negative","2023-11-06T21:31:59.995960Z","Что это за операция?"
107,"1","2023-11-06T21:32:02.391877Z",108,1.817,"Negative","2023-11-06T21:32:02.391877Z","Добрый день ! Можно заказать детализацию по карте?"
108,"1","2023-11-06T21:32:04.765871Z",109,1.667,"Negative","2023-11-06T21:32:04.765871Z","Добрый день ! Можно заказать детализацию по карте?"
109,"1","2023-11-06T21:32:07.127840Z",110,1.814,"Negative","2023-11-06T21:32:07.127840Z","Почему не могу заказать выписку трат по карте "
110,"1","2023-11-06T21:32:48.737021Z",114,2.026,"Neutral","2023-11-06T21:32:48.737021Z","Есть ли у вас пенсионная карта?"
114,"1","2023-11-06T21:34:22.696293Z",129,2.191,"Neutral","2023-11-06T21:34:22.696293Z","Забыла пин код"
113,"1","2023-11-06T21:34:15.266536Z",130,1.7,"Negative","2023-11-06T21:34:15.266536Z","Не могу перевести деньги с карты другого банка ни на одну из карт газпрома"
112,"1","2023-11-06T21:34:07.991131Z",131,2.643,"Negative","2023-11-06T21:34:07.991131Z","Не могу перевести деньги с карты другого банка ни на одну из карт газпрома"
111,"1","2023-11-06T21:33:58.929299Z",132,3.332,"Neutral","2023-11-06T21:33:58.929299Z","Забыл пин код от карты"
